id,ltable_id,ltable_city_ascii,ltable_country,rtable_id,rtable_city_ascii,rtable_country,city_ascii_sim,country_sim,is_matching
548,405,Baicheng,China,1526,Yicheng,China,0.75,1.0,0
12685,247,Tongren,China,916,Yingcheng,China,0.444444444,1.0,0
5602,25,Chengdu,China,232,Changzhi,China,0.5,1.0,0
13321,106,Zhengzhou,China,1682,Minzhu,China,0.444444444,1.0,0
3125,91,Jieyang,China,1007,Laiyang,China,0.571428571,1.0,0
11589,239,Qincheng,China,249,Qinhuangdao,China,0.454545455,1.0,0
6374,152,Chenzhou,China,552,Gaozhou,China,0.5,1.0,0
7281,554,Chizhou,China,975,Hengzhou,China,0.5,1.0,0
15773,40,Tianjin,China,320,Sanming,China,0.428571429,1.0,0
4743,296,Tieling,China,378,Qinbaling,China,0.555555556,1.0,0
3133,102,Pudong,China,560,Wuzhong,China,0.571428571,1.0,0
7288,562,Pingdu,China,765,Xingyi,China,0.5,1.0,0
105,234,Qinzhou,China,255,Xinzhou,China,0.857142857,1.0,0
974,30,Xi'an,China,1005,Hai'an,China,0.666666667,1.0,0
4798,362,Huainan,China,568,Huangshan,China,0.555555556,1.0,0
4766,323,Yangjiang,China,922,Danyang,China,0.555555556,1.0,0
13074,732,Shouguang,China,762,Zaoyang,China,0.444444444,1.0,0
7762,119,Langfang,China,1803,Linghai,China,0.5,1.0,0
6586,192,Qingyuan,China,697,Hanchuan,China,0.5,1.0,0
6574,190,Chuzhou,China,975,Hengzhou,China,0.5,1.0,0
12353,106,Zhengzhou,China,983,Quzhou,China,0.444444444,1.0,0
12395,130,Zhangzhou,China,226,Tangshan,China,0.444444444,1.0,0
11698,318,Yanjiang,China,1838,Jiangjiafan,China,0.454545455,1.0,0
7215,476,Changshu,China,541,Shuangyashan,China,0.5,1.0,0
7109,359,Anshun,China,430,Yinchuan,China,0.5,1.0,0
12188,84,Huanggang,China,423,Pingxiang,China,0.444444444,1.0,0
4506,72,Yancheng,China,323,Yangjiang,China,0.555555556,1.0,0
1877,111,Zhaotong,China,330,Shaoxing,China,0.625,1.0,0
6543,184,Shijiazhuang,China,609,Shaoyang,China,0.5,1.0,0
4685,208,Baicheng,China,914,Xingcheng,China,0.555555556,1.0,0
5917,73,Hengyang,China,318,Yanjiang,China,0.5,1.0,0
12713,275,Zhongshan,China,394,Chongzuo,China,0.444444444,1.0,0
8435,320,Sanming,China,1066,Qingping,China,0.5,1.0,0
472,131,Yuncheng,China,1872,Hancheng,China,0.75,1.0,0
5089,226,Tangshan,China,1352,Tianchang,China,0.555555556,1.0,0
12471,162,Kunming,China,401,Pingliang,China,0.444444444,1.0,0
8672,430,Yinchuan,China,1231,Pinghu,China,0.5,1.0,0
407,284,Xiangtan,China,654,Yingtan,China,0.75,1.0,0
8632,394,Chongzuo,China,1382,Shangzhi,China,0.5,1.0,0
6811,240,Suining,China,289,Mudanjiang,China,0.5,1.0,0
7197,444,Beihai,China,478,Heihe,China,0.5,1.0,0
8637,396,Yushan,China,1121,Sizhan,China,0.5,1.0,0
150,172,Suzhou,China,983,Quzhou,China,0.833333333,1.0,0
7401,975,Hengzhou,China,991,Dengtalu,China,0.5,1.0,0
1292,520,Jianguang,China,594,Jiangyin,China,0.666666667,1.0,0
8573,368,Jincheng,China,1212,Jianshe,China,0.5,1.0,0
13815,401,Pingliang,China,1617,Nangong,China,0.444444444,1.0,0
5081,216,Nanchang,China,1150,Langzhong,China,0.555555556,1.0,0
13382,154,Jiangmen,China,1449,Xingcheng,China,0.444444444,1.0,0
546,405,Baicheng,China,1126,Licheng,China,0.75,1.0,0
5807,60,Fuyang,China,743,Wutong,China,0.5,1.0,0
13439,204,Zaozhuang,China,1150,Langzhong,China,0.444444444,1.0,0
5058,192,Qingyuan,China,1041,Tongchuan,China,0.555555556,1.0,0
3370,188,Zhuzhou,China,542,Pizhou,China,0.571428571,1.0,0
8260,254,Jaipur,India,1890,Sirur,India,0.5,1.0,0
7260,539,Jinhua,China,746,Linhai,China,0.5,1.0,0
15730,34,Baoding,China,43,Nanyang,China,0.428571429,1.0,0
12942,401,Pingliang,China,963,Xin'an,China,0.444444444,1.0,0
3860,163,Yiyang,China,1790,Fenyang,China,0.571428571,1.0,0
2408,212,Wenzhou,China,1427,Luanzhou,China,0.625,1.0,0
4682,208,Baicheng,China,617,Yongcheng,China,0.555555556,1.0,0
3149,108,Dezhou,China,475,Sanzhou,China,0.571428571,1.0,0
5076,213,Changzhou,China,1297,Changping,China,0.555555556,1.0,0
12814,323,Yangjiang,China,914,Xingcheng,China,0.444444444,1.0,0
484,206,Neijiang,China,1574,Zhijiang,China,0.75,1.0,0
7959,166,Jiangguanchi,China,1084,Xiangxiang,China,0.5,1.0,0
13686,336,Guangyuan,China,1476,Mingguang,China,0.444444444,1.0,0
3001,34,Baoding,China,762,Zaoyang,China,0.571428571,1.0,0
2140,368,Jincheng,China,592,Haicheng,China,0.625,1.0,0
5099,244,Zhenjiang,China,1790,Fenyang,China,0.555555556,1.0,0
3788,40,Tianjin,China,1524,Yanji,China,0.571428571,1.0,0
6461,163,Yiyang,China,318,Yanjiang,China,0.5,1.0,0
6330,146,Mianyang,China,216,Nanchang,China,0.5,1.0,0
2083,266,Shanwei,China,715,Zhongwei,China,0.625,1.0,0
12764,299,Handan,China,518,Lianjiang,China,0.444444444,1.0,0
628,118,Dazhou,China,552,Gaozhou,China,0.714285714,1.0,0
11629,119,Langfang,China,1838,Jiangjiafan,China,0.454545455,1.0,0
12046,56,Nanjing,China,101,Nangandao,China,0.444444444,1.0,0
11657,169,Zhangjiakou,China,1084,Xiangxiang,China,0.454545455,1.0,0
6101,112,Yichun,China,539,Jinhua,China,0.5,1.0,0
7261,541,Shuangyashan,China,980,Zhuanghe,China,0.5,1.0,0
62,151,Changsha,China,476,Changshu,China,0.875,1.0,0
523,306,Chaozhou,China,1560,Taozhou,China,0.75,1.0,0
3443,209,Anshan,China,314,Baoshan,China,0.571428571,1.0,0
15680,13,Beijing,China,156,Yibin,China,0.428571429,1.0,0
1889,119,Langfang,China,318,Yanjiang,China,0.625,1.0,0
6897,268,Rizhao,China,723,Mizhou,China,0.5,1.0,0
12217,87,Xinyang,China,916,Yingcheng,China,0.444444444,1.0,0
8325,282,Haikou,China,1324,Meihekou,China,0.5,1.0,0
7306,588,Huazhou,China,660,Dingzhou,China,0.5,1.0,0
11949,30,Xi'an,China,103,Xiangyang,China,0.444444444,1.0,0
8097,209,Anshan,China,1121,Sizhan,China,0.5,1.0,0
5811,65,Shenyang,China,235,Guiyang,China,0.5,1.0,0
2446,246,Guang'an,China,1151,Qian'an,China,0.625,1.0,0
7660,87,Xinyang,China,1574,Zhijiang,China,0.5,1.0,0
4628,130,Zhangzhou,China,251,Jinzhou,China,0.555555556,1.0,0
3598,302,Nanping,China,712,Taixing,China,0.571428571,1.0,0
758,255,Xinzhou,China,256,Lanzhou,China,0.714285714,1.0,0
8215,242,Leshan,China,1121,Sizhan,China,0.5,1.0,0
12364,111,Zhaotong,China,204,Zaozhuang,China,0.444444444,1.0,0
11681,249,Qinhuangdao,China,1308,Zhuangyuan,China,0.454545455,1.0,0
5133,323,Yangjiang,China,1235,Songyang,China,0.555555556,1.0,0
6345,146,Mianyang,China,591,Dayan,China,0.5,1.0,0
5667,42,Wuhan,China,996,Zhoushan,China,0.5,1.0,0
866,234,Qinzhou,China,1682,Minzhu,China,0.714285714,1.0,0
190,37,Linyi,China,758,Xinyi,China,0.8,1.0,0
786,332,Huizhou,China,723,Mizhou,China,0.714285714,1.0,0
13284,101,Nangandao,China,1424,Dangyang,China,0.444444444,1.0,0
3404,194,Binzhou,China,588,Huazhou,China,0.571428571,1.0,0
3529,255,Xinzhou,China,349,Yingkou,China,0.571428571,1.0,0
5149,330,Shaoxing,China,1297,Changping,China,0.555555556,1.0,0
7280,554,Chizhou,China,971,Qingzhou,China,0.5,1.0,0
3361,188,Zhuzhou,China,255,Xinzhou,China,0.571428571,1.0,0
4714,226,Tangshan,China,625,Xiangshui,China,0.555555556,1.0,0
4525,84,Huanggang,China,318,Yanjiang,China,0.555555556,1.0,0
3246,140,Huaihua,China,391,Huaibei,China,0.571428571,1.0,0
6605,196,Taiyuan,China,697,Hanchuan,China,0.5,1.0,0
3781,34,Baoding,China,1517,Beining,China,0.571428571,1.0,0
8661,407,Fushun,China,1602,Dunhua,China,0.5,1.0,0
6378,152,Chenzhou,China,723,Mizhou,China,0.5,1.0,0
8192,235,Guiyang,China,1069,Dongyang,China,0.5,1.0,0
5210,423,Pingxiang,China,1406,Lingyuan,China,0.555555556,1.0,0
3961,271,Meishan,China,1638,Beian,China,0.571428571,1.0,0
12923,392,Qingyang,China,662,Rongcheng,China,0.444444444,1.0,0
4651,165,Changchun,China,226,Tangshan,China,0.555555556,1.0,0
5788,60,Fuyang,China,102,Pudong,China,0.5,1.0,0
2971,1,Jakarta,Indonesia,608,Jepara,Indonesia,0.571428571,1.0,0
4868,587,Rongcheng,China,592,Haicheng,China,0.555555556,1.0,0
6571,190,Chuzhou,China,660,Dingzhou,China,0.5,1.0,0
5607,30,Xi'an,China,205,Xiamen,China,0.5,1.0,0
13217,73,Hengyang,China,1449,Xingcheng,China,0.444444444,1.0,0
2556,464,Shuozhou,China,1560,Taozhou,China,0.625,1.0,0
1472,305,Maracaibo,Venezuela,1818,Maracay,Venezuela,0.666666667,1.0,0
7804,132,Xianyang,China,1221,Xinmin,China,0.5,1.0,0
296,339,Huangshi,China,1115,Guangshui,China,0.777777778,1.0,0
6423,157,Yangzhou,China,225,Hanzhong,China,0.5,1.0,0
8533,348,Lianshan,China,1165,Changsha,China,0.5,1.0,0
3846,140,Huaihua,China,1602,Dunhua,China,0.571428571,1.0,0
5899,72,Yancheng,China,922,Danyang,China,0.5,1.0,0
1872,98,Qingdao,China,971,Qingzhou,China,0.625,1.0,0
6196,122,Suihua,China,539,Jinhua,China,0.5,1.0,0
1883,118,Dazhou,China,306,Chaozhou,China,0.625,1.0,0
15761,40,Tianjin,China,57,Jining,China,0.428571429,1.0,0
8310,277,Weihai,China,1512,Heshan,China,0.5,1.0,0
7543,60,Fuyang,China,1054,Wu'an,China,0.5,1.0,0
12434,146,Mianyang,China,336,Guangyuan,China,0.444444444,1.0,0
4493,71,Zhanjiang,China,144,Jiujiang,China,0.555555556,1.0,0
7919,156,Yibin,China,1396,Xiulin,China,0.5,1.0,0
11909,3,Guangzhou,China,190,Chuzhou,China,0.444444444,1.0,0
1786,54,Quanzhou,China,971,Qingzhou,China,0.625,1.0,0
6491,172,Suzhou,China,198,Wuhu,China,0.5,1.0,0
3799,56,Nanjing,China,1601,Gaoping,China,0.571428571,1.0,0
3928,235,Guiyang,China,1143,Wugang,China,0.571428571,1.0,0
6816,242,Leshan,China,277,Weihai,China,0.5,1.0,0
887,302,Nanping,China,1617,Nangong,China,0.714285714,1.0,0
633,125,Suzhou,China,190,Chuzhou,China,0.714285714,1.0,0
445,51,Ganzhou,China,1427,Luanzhou,China,0.75,1.0,0
6547,185,Ningbo,China,301,Dingxi,China,0.5,1.0,0
3791,43,Nanyang,China,1087,Fuyang,China,0.571428571,1.0,0
11566,148,Huanglongsi,China,346,Dandong,China,0.454545455,1.0,0
2291,86,Nanchong,China,1532,Encheng,China,0.625,1.0,0
6545,184,Shijiazhuang,China,764,Shuizhai,China,0.5,1.0,0
4642,135,Taizhou,China,361,Shangzhou,China,0.555555556,1.0,0
12322,106,Zhengzhou,China,118,Dazhou,China,0.444444444,1.0,0
13513,239,Qincheng,China,1150,Langzhong,China,0.444444444,1.0,0
7517,53,Heze,China,1135,Nehe,China,0.5,1.0,0
12733,275,Zhongshan,China,990,Yangchun,China,0.444444444,1.0,0
8026,192,Qingyuan,China,1231,Pinghu,China,0.5,1.0,0
6245,132,Xianyang,China,348,Lianshan,China,0.5,1.0,0
8039,195,Deyang,China,1027,Leping,China,0.5,1.0,0
12666,244,Zhenjiang,China,401,Pingliang,China,0.444444444,1.0,0
5680,44,Hangzhou,China,178,Luzhou,China,0.5,1.0,0
6750,226,Tangshan,China,271,Meishan,China,0.5,1.0,0
198,107,Lu'an,China,1397,Fu'an,China,0.8,1.0,0
12123,72,Yancheng,China,204,Zaozhuang,China,0.444444444,1.0,0
1100,130,Zhangzhou,China,232,Changzhi,China,0.666666667,1.0,0
13026,568,Huangshan,China,975,Hengzhou,China,0.444444444,1.0,0
2208,640,Zhangye,China,715,Zhongwei,China,0.625,1.0,0
8312,278,Daqing,China,1027,Leping,China,0.5,1.0,0
235,106,Zhengzhou,China,361,Shangzhou,China,0.777777778,1.0,0
13806,401,Pingliang,China,1261,Xiping,China,0.444444444,1.0,0
7379,715,Zhongwei,China,751,Zhongxiang,China,0.5,1.0,0
11976,32,Chongqing,China,302,Nanping,China,0.444444444,1.0,0
8374,301,Dingxi,China,1110,Qingnian,China,0.5,1.0,0
3848,141,Ji'an,China,1612,Jiannan,China,0.571428571,1.0,0
802,400,Hezhou,China,526,Leizhou,China,0.714285714,1.0,0
